date,silver_spot
2012-07-11,27.1
2012-07-12,27.19
2012-07-13,27.28
2012-07-16,27.25
2012-07-17,27.25
2012-07-18,27.16
2012-07-19,27.24
2012-07-20,27.29
2012-07-23,26.98
2012-07-24,26.95
2012-07-25,27.32
2012-07-26,27.5
2012-07-27,27.7
2012-07-30,28.14
2012-07-31,27.91
2012-08-01,27.4
2012-08-02,27.1
2012-08-03,27.77
2012-08-06,27.86
2012-08-07,28.07
2012-08-08,27.99
2012-08-09,28.1
2012-08-10,28.08
2012-08-13,27.79
2012-08-14,27.75
2012-08-15,27.79
2012-08-16,28.18
2012-08-17,28.05
2012-08-20,28.77
2012-08-21,29.32
2012-08-22,29.84
2012-08-23,30.51
2012-08-24,30.77
2012-08-27,30.69
2012-08-28,30.84
2012-08-29,30.68
2012-08-30,30.4
2012-08-31,31.69
2012-09-03,32.09
2012-09-04,32.32
2012-09-05,32.25
2012-09-06,32.62
2012-09-07,33.65
2012-09-10,33.28
2012-09-11,33.49
2012-09-12,33.27
2012-09-13,34.64
2012-09-14,34.63
2012-09-17,34.21
2012-09-18,34.78
2012-09-19,34.57
2012-09-20,34.59
2012-09-21,34.49
2012-09-24,33.94
2012-09-25,33.7
2012-09-26,33.93
2012-09-27,34.63
2012-09-28,34.46
2012-10-01,34.64
2012-10-02,34.56
2012-10-03,34.59
2012-10-04,34.93
2012-10-05,34.47
2012-10-08,33.96
2012-10-09,33.85
2012-10-10,33.97
2012-10-11,33.99
2012-10-12,33.43
2012-10-15,32.69
2012-10-16,32.93
2012-10-17,33.16
2012-10-18,32.78
2012-10-19,32.02
2012-10-22,32.39
2012-10-23,31.66
2012-10-24,31.66
2012-10-25,32.07
2012-10-26,32.05
2012-10-29,31.76
2012-10-30,31.81
2012-10-31,32.21
2012-11-01,32.23
2012-11-02,30.85
2012-11-05,31.15
2012-11-06,31.95
2012-11-07,31.76
2012-11-08,32.32
2012-11-09,32.58
2012-11-12,32.39
2012-11-13,32.46
2012-11-14,32.65
2012-11-15,32.59
2012-11-16,32.29
2012-11-19,33.1
2012-11-20,33.15
2012-11-21,33.33
2012-11-22,33.28
2012-11-23,34.1
2012-11-26,34.11
2012-11-27,34.02
2012-11-28,33.73
2012-11-29,34.21
2012-11-30,33.4
2012-12-03,33.61
2012-12-04,32.91
2012-12-05,32.84
2012-12-06,32.98
2012-12-07,33.04
2012-12-10,33.19
2012-12-11,32.94
2012-12-12,33.44
2012-12-13,32.51
2012-12-14,32.23
2012-12-17,32.25
2012-12-18,31.62
2012-12-19,30.99
2012-12-20,29.94
2012-12-21,29.98
2012-12-24,29.88
2012-12-25,29.86
2012-12-26,29.97
2012-12-27,30.16
2012-12-28,30.0
2012-12-31,30.31
2013-01-01,30.28
2013-01-02,30.97
2013-01-03,30.13
2013-01-04,30.21
2013-01-07,30.12
2013-01-08,30.34
2013-01-09,30.33
2013-01-10,30.82
2013-01-11,30.43
2013-01-14,31.01
2013-01-15,31.35
2013-01-16,31.42
2013-01-17,31.72
2013-01-18,31.84
