asset,holding_days,signal,avg_return_pct,win_rate,trades,max_return_pct,min_return_pct
gold,5,BUY,0.8221259403819683,62.5,16,8.46109374231512,-8.5928100254102
gold,5,SELL,1.0308799487084996,66.66666666666666,3,2.7278816940958572,-1.3114331444446066
gold,10,BUY,1.1753423559821448,62.5,16,13.08764778127075,-7.421399561498017
gold,10,SELL,-0.8077688109027689,33.33333333333333,3,0.808371815439184,-3.1259385431574227
gold,20,BUY,3.6940107747441453,68.75,16,22.57751214889016,-2.968997092298849
gold,20,SELL,-2.4108456384358146,66.66666666666666,3,2.063551344456388,-10.4441276342507
silver,5,BUY,2.621412344065681,55.55555555555556,18,15.279998200120007,-3.6835835345810564
silver,5,SELL,-0.9523429239751258,44.44444444444444,9,4.715045686731364,-6.148193203386619
silver,10,BUY,4.479840792710563,72.22222222222221,18,22.934315520273444,-4.509404690380354
silver,10,SELL,-2.7669362006885643,33.33333333333333,9,7.22622033666101,-8.709209581955237
silver,20,BUY,9.104693709254228,83.33333333333334,18,61.92022949343644,-9.566312185582868
silver,20,SELL,-5.564114601667831,33.33333333333333,9,5.546429841800722,-23.757226136684647
