date,gold_futures,silver_futures,gold_spot,silver_spot,gold_premium_pct,silver_premium_pct,gold_signal,silver_signal,gold_mean_20,gold_std_20,silver_mean_20,silver_std_20,gold_zscore,silver_zscore,gold_signal_z,silver_signal_z
2021-03-18,1732.199951171875,26.32099914550781,1736.0798806892,26.0407882578,-0.22348796046094388,1.0760461048020624,HOLD,SELL,,,,,,,HOLD,HOLD
2021-03-19,1741.4000244140625,26.29199981689453,1745.0877851905,26.2418345254,-0.21132236485369144,0.19116533733940605,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-22,1737.800048828125,25.74099922180176,1739.1247328355,25.798909634,-0.07616958015514148,-0.22446844854993558,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-23,1724.699951171875,25.200000762939453,1727.143757572,25.0655802696,-0.14149409332089358,0.5362752104425811,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-24,1732.9000244140625,25.201000213623047,1734.9784707397,25.080171214,-0.11979666380248388,0.4817710317527617,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-25,1724.9000244140625,25.02199935913086,1727.1762192716,25.0776769383,-0.13178706562423098,-0.2220204818258438,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-26,1732.199951171875,25.09199905395508,1732.5633703586,25.0542467521,-0.020975809193619802,0.15068224652141327,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-29,1712.0999755859375,24.746999740600582,1712.1196562236,24.6701573586,-0.0011494896160436083,0.31147909145295444,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-30,1683.9000244140625,24.121000289916992,1685.5602803482,24.0162462671,-0.0984987575641314,0.4361798328179784,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-03-31,1713.800048828125,24.517000198364254,1706.9987563734,24.4187324228,0.39843570063135914,0.4024278323001695,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-01,1726.5,24.934999465942383,1730.2496122951,24.9729235927,-0.21670932728175876,-0.1518609810214696,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-05,1727.0,24.76300048828125,1729.3195427565,24.8470266775,-0.1341303731988485,-0.33817402101813554,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-06,1741.5,25.21199989318848,1743.0551824931,25.1689218255,-0.08922164419806303,0.17115579279536472,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-07,1740.0999755859375,25.232999801635746,1736.7820520808,25.1450160859,0.19103856475038902,0.34990518771265505,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-08,1756.800048828125,25.569000244140625,1754.8831398798,25.4181296081,0.1092328545851972,0.5935552236406404,HOLD,HOLD,,,,,,,HOLD,HOLD
2021-04-09,1743.300048828125,25.31100082397461,1744.0638086114,25.2485570322,-0.043791963316013004,0.24731627908467294,HOLD,HOLD,,,,,,,HOLD,HOLD
