date,asset,signal,holding_days,today_price,future_price,forward_return_pct
2024-04-05,gold,SELL,5,2325.699951171875,2356.199951171875,-1.3114331444446066
2024-04-05,gold,SELL,10,2325.699951171875,2398.39990234375,-3.1259385431574227
2024-04-05,gold,SELL,20,2325.699951171875,2299.0,1.1480393744868684
2024-04-22,gold,BUY,5,2332.199951171875,2345.39990234375,0.5659871129506858
2024-04-22,gold,BUY,10,2332.199951171875,2321.60009765625,-0.4545002031364775
2024-04-22,gold,BUY,20,2332.199951171875,2433.89990234375,4.36068747539306
2024-06-07,gold,BUY,5,2305.199951171875,2331.39990234375,1.1365587249191096
2024-06-07,gold,BUY,10,2305.199951171875,2330.0,1.0758307024741003
2024-06-07,gold,BUY,20,2305.199951171875,2360.10009765625,2.3815785028307794
2024-10-31,gold,BUY,5,2738.300048828125,2698.39990234375,-1.45711374841667
2024-10-31,gold,BUY,10,2738.300048828125,2568.199951171875,-6.211886740791812
2024-10-31,gold,BUY,20,2738.300048828125,2657.0,-2.968997092298849
2024-11-06,gold,BUY,5,2667.60009765625,2580.800048828125,-3.253862859893708
2024-11-06,gold,BUY,10,2667.60009765625,2648.199951171875,-0.7272509287062909
2024-11-06,gold,BUY,20,2667.60009765625,2626.60009765625,-1.536962007012316
2024-11-11,gold,BUY,5,2611.199951171875,2610.60009765625,-0.022972331757121586
2024-11-11,gold,BUY,10,2611.199951171875,2616.800048828125,0.2144645282233842
2024-11-11,gold,BUY,20,2611.199951171875,2697.60009765625,3.3088292011341247
2024-11-25,gold,BUY,5,2616.800048828125,2644.699951171875,1.0661839583901087
2024-11-25,gold,BUY,10,2616.800048828125,2697.60009765625,3.087742560395835
2024-11-25,gold,BUY,20,2616.800048828125,2620.0,0.12228489422827801
2025-02-14,gold,BUY,5,2883.60009765625,2947.89990234375,2.2298447256872405
2025-02-14,gold,BUY,10,2883.60009765625,2890.199951171875,0.22887547829497124
2025-02-14,gold,BUY,20,2883.60009765625,3000.0,4.036617367240285
2025-02-25,gold,BUY,5,2904.5,2909.60009765625,0.17559296458082285
2025-02-25,gold,BUY,10,2904.5,2912.89990234375,0.2892030416164572
2025-02-25,gold,BUY,20,2904.5,3023.699951171875,4.103974906933207
2025-04-03,gold,BUY,5,3097.0,3155.199951171875,1.8792363956046172
2025-04-03,gold,BUY,10,3097.0,3308.699951171875,6.835645824083791
2025-04-03,gold,BUY,20,3097.0,3231.89990234375,4.355825067605747
2025-04-04,gold,BUY,5,3012.0,3222.199951171875,6.978750038906872
2025-04-04,gold,BUY,10,3012.0,3406.199951171875,13.08764778127075
2025-04-04,gold,BUY,20,3012.0,3311.300048828125,9.93692061182354
