Date,adj_close_gc=f,close,high,low,open,volume,ret_1d,ma_20,ma_60,dev_ma20,dev_ma20_z,trend_up,trend_down,signal
2021-04-13,1746.199951171875,1746.199951171875,1746.9000244140625,1722.0999755859375,1733.800048828125,367,,,,,,False,False,HOLD
2021-04-14,1734.9000244140625,1734.9000244140625,1745.9000244140625,1732.699951171875,1741.300048828125,1037,-0.006471152831168725,,,,,False,False,HOLD
2021-04-15,1765.4000244140625,1765.4000244140625,1767.9000244140625,1740.0999755859375,1740.0999755859375,368,0.017580263744765956,,,,,False,False,HOLD
2021-04-16,1779.0,1779.0,1779.5,1770.0999755859375,1770.4000244140625,625,0.007703622633885132,,,,,False,False,HOLD
2021-04-19,1769.4000244140625,1769.4000244140625,1788.5,1769.4000244140625,1782.0999755859375,144,-0.005396276327114924,,,,,False,False,HOLD
2021-04-20,1777.300048828125,1777.300048828125,1777.300048828125,1765.5,1769.300048828125,1464,0.004464804060731575,,,,,False,False,HOLD
2021-04-21,1792.300048828125,1792.300048828125,1794.0999755859375,1777.699951171875,1783.0,250,0.00843976795583301,,,,,False,False,HOLD
2021-04-22,1781.199951171875,1781.199951171875,1794.199951171875,1779.5,1794.199951171875,159,-0.0061932139451247314,,,,,False,False,HOLD
2021-04-23,1777.0,1777.0,1794.5,1772.0,1786.0999755859375,332,-0.0023579335768069143,,,,,False,False,HOLD
2021-04-26,1779.199951171875,1779.199951171875,1779.699951171875,1770.800048828125,1778.0,549,0.0012380141653769439,,,,,False,False,HOLD
2021-04-27,1778.0,1778.0,1782.0,1777.699951171875,1780.0,117,-0.0006744330062985471,,,,,False,False,HOLD
2021-04-28,1773.199951171875,1773.199951171875,1774.0,1764.5999755859375,1768.199951171875,756,-0.0026996900045697103,,,,,False,False,HOLD
2021-04-29,1768.0999755859375,1768.0999755859375,1789.0,1758.5999755859375,1781.0,196,-0.0028761424127984325,,,,,False,False,HOLD
2021-04-30,1767.300048828125,1767.300048828125,1771.800048828125,1763.9000244140625,1771.800048828125,18,-0.00045242167799219857,,,,,False,False,HOLD
2021-05-03,1791.4000244140625,1791.4000244140625,1793.0,1788.5,1788.5,18,0.013636606642951188,,,,,False,False,HOLD
2021-05-04,1775.800048828125,1775.800048828125,1788.5,1774.800048828125,1788.199951171875,182,-0.008708259112053973,,,,,False,False,HOLD
2021-05-05,1784.0999755859375,1784.0999755859375,1784.0999755859375,1779.199951171875,1781.5,57,0.004673908395987247,,,,,False,False,HOLD
2021-05-06,1815.5,1815.5,1815.5,1787.5999755859375,1788.9000244140625,13,0.017599924244015464,,,,,False,False,HOLD
2021-05-07,1831.0999755859373,1831.0999755859373,1842.9000244140625,1831.0999755859373,1842.9000244140625,2,0.008592660746867153,,,,,False,False,HOLD
2021-05-10,1837.5,1837.5,1845.5999755859373,1835.4000244140625,1835.5999755859373,13,0.0034951802192093595,1781.195001220703,,0.0316107999072025,,False,False,HOLD
2021-05-11,1835.9000244140625,1835.9000244140625,1838.0999755859373,1831.5999755859373,1837.199951171875,420,-0.0008707350127551416,1785.6800048828125,,0.028123750836615207,,False,False,HOLD
2021-05-12,1822.5999755859373,1822.5999755859373,1825.199951171875,1821.699951171875,1825.199951171875,3,-0.00724442978989015,1790.0650024414062,,0.018175302628763608,,False,False,HOLD
2021-05-13,1823.800048828125,1823.800048828125,1826.800048828125,1814.0999755859373,1814.699951171875,100,0.0006584402821590007,1792.9850036621094,,0.017186448912331627,,False,False,HOLD
2021-05-14,1837.9000244140625,1837.9000244140625,1842.9000244140625,1824.5,1824.5,41,0.007731097274066512,1795.9300048828125,,0.02336951853198124,,False,False,HOLD
2021-05-17,1867.5,1867.5,1867.5,1847.199951171875,1849.9000244140625,13,0.016105324115969877,1800.8350036621093,,0.037018936328049645,,False,False,HOLD
2021-05-18,1867.800048828125,1867.800048828125,1870.5,1867.800048828125,1870.5,3,0.0001606687165327525,1805.3600036621094,,0.03458592471272109,,False,False,HOLD
2021-05-19,1881.300048828125,1881.300048828125,1884.9000244140625,1863.5999755859373,1866.4000244140625,348,0.007227754388629659,1809.8100036621095,,0.039501408999484504,,False,False,HOLD
2021-05-20,1881.800048828125,1881.800048828125,1885.0,1864.800048828125,1865.5,85,0.0002657736602469374,1814.8400085449218,,0.03689583652990409,,False,False,HOLD
2021-05-21,1876.699951171875,1876.699951171875,1876.699951171875,1872.0999755859373,1872.0999755859373,5,-0.00271022293756773,1819.8250061035155,,0.03125297480670199,,False,False,HOLD
2021-05-24,1884.5999755859373,1884.5999755859373,1884.5999755859373,1882.0999755859373,1882.0999755859373,39,0.00420952982341638,1825.0950073242188,,0.03260376474809329,,False,False,HOLD
2021-05-25,1898.0999755859373,1898.0999755859373,1898.0999755859373,1882.5,1882.5,56,0.007163323875032379,1831.1000061035156,,0.03659001106389271,,False,False,HOLD
2021-05-26,1901.300048828125,1901.300048828125,1901.300048828125,1901.300048828125,1901.300048828125,170526,0.0016859350315305832,1837.5050109863282,,0.034718293261988525,,False,False,HOLD
2021-05-27,1895.699951171875,1895.699951171875,1903.9000244140625,1888.199951171875,1896.800048828125,35794,-0.0029454044666445967,1843.885009765625,,0.02810096135704046,,False,False,HOLD
2021-05-28,1902.5,1902.5,1905.4000244140625,1881.9000244140625,1897.5,2415,0.0035870913136444305,1850.6450073242188,,0.028019956539777707,,False,False,HOLD
2021-06-01,1902.9000244140625,1902.9000244140625,1916.199951171875,1892.800048828125,1905.0999755859373,640,0.00021026250410649538,1856.2200073242188,,0.02514789028544839,,False,False,HOLD
2021-06-02,1907.5,1907.5,1908.800048828125,1896.0,1899.199951171875,1267,0.0024173501113669005,1862.8050048828125,,0.023993383633838405,,False,False,HOLD
2021-06-03,1871.199951171875,1871.199951171875,1908.800048828125,1865.0,1908.800048828125,1021,-0.019030169765727356,1867.1600036621094,,0.002163685759036168,,False,False,HOLD
2021-06-04,1889.800048828125,1889.800048828125,1895.5,1854.0,1869.300048828125,367,0.009940197809753748,1870.8750061035157,,0.010115610429808778,,False,False,HOLD
2021-06-07,1896.800048828125,1896.800048828125,1899.699951171875,1883.199951171875,1890.5,87,0.0037040955757943195,1874.160009765625,,0.012080099321578833,,False,False,HOLD
2021-06-08,1892.199951171875,1892.199951171875,1902.9000244140625,1890.0,1896.5,930,-0.002425188495272401,1876.8950073242188,,0.008154395311368846,,False,False,HOLD
2021-06-09,1893.199951171875,1893.199951171875,1897.699951171875,1889.199951171875,1894.9000244140625,148,0.0005284853745930462,1879.7600036621093,,0.007149820979051736,,False,False,HOLD
